Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6862365c44ac460b2ee816e7,600a9ab59e9b701db49fbec1,AWAITING REVIEW,Not Applicable,2025-06-30T07:02:29.633000Z,2025-06-30T07:17:04.555000Z,,2025-06-30T07:17:05.138357Z,875.0,NOCODE,640,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6862365dc4a94c5470bbe634,669b961e1c9cf30a26bb57d2,AWAITING REVIEW,Not Applicable,2025-06-30T07:01:54.745000Z,2025-06-30T07:27:26.533000Z,,2025-06-30T07:27:27.111753Z,1532.0,NOCODE,350,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6862365f249a0f39efbe44d6,5e1471b5a99550a8a867bfb4,AWAITING REVIEW,Not Applicable,2025-06-30T07:01:53.962000Z,2025-06-30T07:12:41.252000Z,,2025-06-30T07:12:41.710484Z,648.0,NOCODE,660,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6862365faa49d02e06455169,5a5dc26facc75b00017a8374,AWAITING REVIEW,Not Applicable,2025-06-30T07:01:54.031000Z,2025-06-30T07:22:26.614000Z,,2025-06-30T07:22:27.146781Z,1233.0,NOCODE,1005,51,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
6862366041ff9aaacb9599de,6753746b1f8827e2bd586bf0,RETURNED,Not Applicable,2025-06-30T07:11:52.439000Z,,,2025-07-01T10:09:36.628511Z,,,1049,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68623660f5dd66263567620b,5a520774eedc3200014206b4,RETURNED,Not Applicable,2025-06-30T07:01:52.045000Z,,,2025-07-01T10:09:36.631213Z,,,1977,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686236616927b306d9d53e39,660558cab219cf2f5e89fd1c,AWAITING REVIEW,Not Applicable,2025-06-30T07:03:03.664000Z,2025-06-30T07:24:04.939000Z,,2025-06-30T07:24:05.445033Z,1262.0,NOCODE,261,24,Female,Black,Kenya,Kenya,Kenya,Swahili,No,Full-Time
68623662acee7476b3328799,5c3ce83e9883d400014200a5,AWAITING REVIEW,Not Applicable,2025-06-30T07:01:54.331000Z,2025-06-30T07:41:44.310000Z,,2025-06-30T07:41:44.858567Z,2390.0,NOCODE,735,34,Female,White,Mexico,Spain,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
686236630bf63cd16bc89b89,64f3036a5b5f2feae0b1f51b,RETURNED,Not Applicable,2025-06-30T07:11:55.965000Z,,,2025-07-01T10:09:36.636552Z,,,1768,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6862366379d0d5fb0edf1ed1,66497704c55b6a0ac500cb61,RETURNED,Not Applicable,2025-06-30T07:01:55.050000Z,,,2025-07-01T10:09:36.636627Z,,,1203,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
