Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6863d920301b07c7bc7f04d4,5bbb5e3f118c0600013c3202,AWAITING REVIEW,Not Applicable,2025-07-01T12:48:38.545000Z,2025-07-01T13:00:28.641000Z,,2025-07-01T13:00:29.206186Z,711.0,NOCODE,3510,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6863d94299511615c75ca398,67ddd07cab0ce75e431cc112,AWAITING REVIEW,Not Applicable,2025-07-01T12:50:38.695000Z,2025-07-01T13:25:18.245000Z,,2025-07-01T13:25:18.751765Z,2080.0,NOCODE,518,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6863d958511f57eedf0983f7,6786ac16415168abd9f21d6b,AWAITING REVIEW,Not Applicable,2025-07-01T12:53:16.470000Z,2025-07-01T13:33:13.396000Z,,2025-07-01T13:33:13.946429Z,2397.0,NOCODE,1045,30,Female,White,United States,United States,United States,English,Yes,Part-Time
6863d95c238708d6f5649c9f,5fc0651e0985e84f652efe5e,RETURNED,Not Applicable,2025-07-01T12:51:28.920000Z,,,2025-07-01T14:33:09.362371Z,,,511,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863d97a6c8f6c2f5e510197,673e39bac4e40b1e4c76575e,AWAITING REVIEW,Not Applicable,2025-07-01T12:51:33.914000Z,2025-07-01T13:33:31.910000Z,,2025-07-01T13:33:32.401803Z,2518.0,NOCODE,825,52,Female,White,United States,United States,United States,English,No,Full-Time
6863d987912dbbdd325e5855,66ec4adbeb5602188fdf76f4,AWAITING REVIEW,Not Applicable,2025-07-01T12:50:26.410000Z,2025-07-01T13:31:20.153000Z,,2025-07-01T13:31:20.722017Z,2454.0,NOCODE,1320,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6863d9971cd6f45153bf94ac,66881fbe723bc57d75a2c268,AWAITING REVIEW,Not Applicable,2025-07-01T12:54:00.711000Z,2025-07-01T13:15:20.113000Z,,2025-07-01T13:15:20.666694Z,1280.0,NOCODE,268,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6863d9a210c08c22cf078c32,67feb525a7759f2034a95f22,AWAITING REVIEW,Not Applicable,2025-07-01T12:50:48.639000Z,2025-07-01T13:13:53.752000Z,,2025-07-01T13:13:54.286367Z,1386.0,NOCODE,152,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6863d9a459b63666917cbd1f,672ceecd4b982fd2123fa32f,RETURNED,Not Applicable,2025-07-01T12:50:44.650000Z,,,2025-07-01T14:33:09.367577Z,,,688,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863d9a531666c8870ec063e,66a109e8788206c8bb176639,AWAITING REVIEW,Not Applicable,2025-07-01T12:56:34.956000Z,2025-07-01T13:47:15.505000Z,,2025-07-01T13:47:16.066784Z,3041.0,NOCODE,327,32,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
